width,height,mean_brightness,std_brightness,min_pixel,max_pixel,contrast,image_id
1024,1024,90.7107048034668,84.5321507369234,0,255,255,IMG000554
1024,1024,54.192538261413574,56.35230413410634,0,255,255,IMG000284
1024,1024,59.00389766693115,67.57802090195744,0,227,227,IMG001557
1024,1024,44.94659900665283,68.72007360089329,0,255,255,IMG001656
1024,1024,56.50230312347412,54.22978417802156,9,255,246,IMG000724
1024,1024,60.54765510559082,53.659805674810734,0,255,255,IMG000262
1024,1024,70.84839725494385,66.15381083483776,0,255,255,IMG000295
1024,1024,48.51790809631348,54.29614232484124,0,255,255,IMG000237
1024,1024,66.72209072113037,55.96378575527145,0,255,255,IMG000352
1024,1024,25.429369926452637,32.94142476487705,0,255,255,IMG001190
1024,1024,61.30647087097168,57.90479878396717,0,255,255,IMG000536
1024,1024,89.0960636138916,50.677282576040305,0,255,255,IMG000144
1024,1024,52.3470344543457,48.58772548546004,0,239,239,IMG001806
1024,1024,72.1932601928711,53.779149833678694,0,255,255,IMG000385
1024,1024,49.48195743560791,56.90281095091988,0,255,255,IMG000546
1024,1024,101.48233127593994,39.6637128134364,0,255,255,IMG001252
1024,1024,68.6051082611084,30.677069444780447,0,255,255,IMG001068
1024,1024,93.97129440307617,67.37047448440592,4,255,251,IMG001394
1024,1024,33.66565418243408,40.04568544813131,0,255,255,IMG000988
1024,1024,70.15188980102539,23.375931151405403,0,255,255,IMG000973
1024,1024,57.00844192504883,47.97366782234794,0,255,255,IMG000741
1024,1024,130.39720058441162,50.68709661831338,0,255,255,IMG001034
1024,1024,58.88736534118652,61.49890305673599,0,255,255,IMG000721
1024,1024,79.13814640045166,73.24217010108441,0,255,255,IMG000691
1024,1024,81.02214622497559,47.66865836995716,23,255,232,IMG000524
1024,1024,140.85667419433594,43.04155570506978,2,249,247,IMG000228
1024,1024,61.09730815887451,40.63430247875891,0,255,255,IMG000220
1024,1024,106.45518779754639,44.916342605991474,36,255,219,IMG000635
1024,1024,87.26130199432373,41.7113470995617,0,255,255,IMG001240
1024,1024,74.20409679412842,32.306347289482034,0,255,255,IMG001271
1024,1024,40.012417793273926,40.13350218192849,0,255,255,IMG000845
1024,1024,118.48468112945557,86.01024757329323,0,255,255,IMG000456
1024,1024,50.0598258972168,55.22025075535879,0,255,255,IMG000650
1024,1024,84.19408416748047,49.44709290793899,0,224,224,IMG001753
1024,1024,71.97439098358154,78.19519992619317,0,255,255,IMG001859
1024,1024,73.13343906402588,72.35735264065214,0,255,255,IMG000530
1024,1024,39.58333969116211,43.397388617788955,0,255,255,IMG000654
1024,1024,66.66261672973633,52.23840421696603,0,255,255,IMG001483
1024,1024,61.83593940734863,50.287981763673045,0,255,255,IMG000766
1024,1024,69.99719333648682,34.57999219980351,0,255,255,IMG001124
1024,1024,43.54858112335205,45.379135124470544,0,255,255,IMG000529
1024,1024,37.90882968902588,63.06445389025547,0,246,246,IMG001654
1024,1024,65.79603481292725,53.225569125005094,0,255,255,IMG000309
1024,1024,65.00331687927246,65.86718308734059,0,255,255,IMG001699
1024,1024,60.135952949523926,52.18145684030156,9,255,246,IMG000523
1024,1024,121.5636854171753,42.18696986283853,0,255,255,IMG000979
1024,1024,31.489298820495605,43.14672987341049,0,255,255,IMG000212
1024,1024,34.38268566131592,24.53363905648238,0,255,255,IMG001120
1024,1024,40.07192611694336,28.042118127428566,0,255,255,IMG000849
1024,1024,66.20878314971924,55.90352425792978,0,255,255,IMG000358
1024,1024,99.57060527801514,42.71126004327138,0,255,255,IMG001319
1024,1024,49.78915023803711,30.841125945647264,0,255,255,IMG001021
1024,1024,58.89600467681885,64.99503249203006,0,255,255,IMG000707
1024,1024,53.9403076171875,59.03397821275679,0,255,255,IMG000825
1024,1024,97.12596607208252,55.133086554447345,0,255,255,IMG000693
1024,1024,47.56630229949951,54.35580023340316,0,255,255,IMG000414
1024,1024,43.512553215026855,51.471681334299326,0,255,255,IMG000314
1024,1024,99.7557258605957,52.354290727009456,0,255,255,IMG000467
1024,1024,54.04039001464844,58.250072867238224,0,255,255,IMG000325
1024,1024,58.89405059814453,57.58323558923003,0,255,255,IMG000310
1024,1024,43.59121227264404,45.19392307355048,0,255,255,IMG000491
1024,1024,100.35730743408203,44.690436374972265,0,255,255,IMG000910
1024,1024,57.415406227111816,60.54060979333892,0,203,203,IMG001751
1024,1024,52.0522575378418,49.89764414651885,0,255,255,IMG000370
1024,1024,73.34550380706787,36.327988195179145,0,255,255,IMG000924
1024,1024,60.9057035446167,48.10395788188397,0,255,255,IMG000345
1024,1024,17.81157112121582,34.42764237851881,0,255,255,IMG000577
1024,1024,54.00869655609131,28.92031652860534,0,255,255,IMG001321
