has_tumor,tumor_pixels,tumor_ratio,tumor_percentage,image_id
True,7661,0.007306098937988281,0.7306098937988281,IMG000554
True,490,0.0004673004150390625,0.04673004150390625,IMG000284
True,5286,0.0050411224365234375,0.5041122436523438,IMG001557
True,4592,0.0043792724609375,0.43792724609375,IMG001656
True,3132,0.002986907958984375,0.2986907958984375,IMG000724
True,276,0.000263214111328125,0.0263214111328125,IMG000262
True,428,0.000408172607421875,0.0408172607421875,IMG000295
True,5537,0.005280494689941406,0.5280494689941406,IMG000237
True,554,0.0005283355712890625,0.05283355712890625,IMG000352
True,53707,0.05121898651123047,5.121898651123047,IMG001190
True,12362,0.011789321899414062,1.1789321899414062,IMG000536
True,15553,0.014832496643066406,1.4832496643066406,IMG000144
True,19185,0.018296241760253906,1.8296241760253906,IMG001806
True,320,0.00030517578125,0.030517578125,IMG000385
True,422,0.0004024505615234375,0.04024505615234375,IMG000546
True,6978,0.0066547393798828125,0.6654739379882812,IMG001252
True,1020,0.000972747802734375,0.0972747802734375,IMG001068
True,5365,0.005116462707519531,0.5116462707519531,IMG001394
True,706,0.0006732940673828125,0.06732940673828125,IMG000988
True,1022,0.0009746551513671875,0.09746551513671875,IMG000973
True,174,0.0001659393310546875,0.01659393310546875,IMG000741
True,1401,0.0013360977172851562,0.13360977172851562,IMG001034
True,5053,0.004818916320800781,0.4818916320800781,IMG000721
True,3252,0.003101348876953125,0.3101348876953125,IMG000691
True,1000,0.00095367431640625,0.095367431640625,IMG000524
True,6435,0.006136894226074219,0.6136894226074219,IMG000228
True,6591,0.006285667419433594,0.6285667419433594,IMG000220
True,559,0.0005331039428710938,0.053310394287109375,IMG000635
True,1493,0.0014238357543945312,0.14238357543945312,IMG001240
True,526,0.0005016326904296875,0.05016326904296875,IMG001271
True,12329,0.011757850646972656,1.1757850646972656,IMG000845
True,8477,0.008084297180175781,0.8084297180175781,IMG000456
True,82199,0.07839107513427734,7.839107513427734,IMG000650
True,3028,0.002887725830078125,0.2887725830078125,IMG001753
True,10241,0.009766578674316406,0.9766578674316406,IMG001859
True,1024,0.0009765625,0.09765625,IMG000530
True,3817,0.0036401748657226562,0.3640174865722656,IMG000654
True,14538,0.013864517211914062,1.3864517211914062,IMG001483
True,878,0.0008373260498046875,0.08373260498046875,IMG000766
True,1312,0.001251220703125,0.1251220703125,IMG001124
True,1777,0.0016946792602539062,0.16946792602539062,IMG000529
True,2088,0.00199127197265625,0.199127197265625,IMG001654
True,1369,0.0013055801391601562,0.13055801391601562,IMG000309
True,15889,0.015152931213378906,1.5152931213378906,IMG001699
True,1539,0.0014677047729492188,0.14677047729492188,IMG000523
True,143,0.00013637542724609375,0.013637542724609375,IMG000979
True,4756,0.004535675048828125,0.4535675048828125,IMG000212
True,7932,0.007564544677734375,0.7564544677734375,IMG001120
True,826,0.0007877349853515625,0.07877349853515625,IMG000849
True,401,0.00038242340087890625,0.038242340087890625,IMG000358
True,1563,0.0014905929565429688,0.14905929565429688,IMG001319
True,148,0.000141143798828125,0.0141143798828125,IMG001021
True,6413,0.006115913391113281,0.6115913391113281,IMG000707
True,1676,0.001598358154296875,0.1598358154296875,IMG000825
True,4249,0.004052162170410156,0.4052162170410156,IMG000693
True,306,0.0002918243408203125,0.02918243408203125,IMG000414
True,6369,0.006073951721191406,0.6073951721191406,IMG000314
True,7164,0.006832122802734375,0.6832122802734375,IMG000467
True,540,0.000514984130859375,0.0514984130859375,IMG000325
True,639,0.0006093978881835938,0.060939788818359375,IMG000310
True,685,0.0006532669067382812,0.06532669067382812,IMG000491
True,351,0.00033473968505859375,0.033473968505859375,IMG000910
True,4964,0.004734039306640625,0.4734039306640625,IMG001751
True,494,0.0004711151123046875,0.04711151123046875,IMG000370
True,199,0.00018978118896484375,0.018978118896484375,IMG000924
True,1946,0.0018558502197265625,0.18558502197265625,IMG000345
True,1106,0.0010547637939453125,0.10547637939453125,IMG000577
True,859,0.0008192062377929688,0.08192062377929688,IMG001321
